ID,ValueA,ValueB,Category
1,5,60,Stroke
2,10,70,Stroke
3,15,55,Stroke
4,20,80,Stroke
5,25,65,Stroke
6,30,75,Stroke
7,35,50,Stroke
8,40,85,Stroke
9,45,60,Stroke
10,50,90,Stroke
11,55,70,Stroke
12,60,60,Stroke
13,65,80,Stroke
14,70,50,Stroke
15,75,75,Stroke
16,80,65,Stroke
17,85,85,Stroke
18,90,55,Stroke
19,95,70,Stroke
20,8,40,Stroke
21,18,50,Stroke
22,28,60,Stroke
23,38,70,Stroke
24,48,50,Stroke
25,58,60,Stroke
26,20,85,Gesture
27,80,15,Gesture
28,50,50,Gesture
29,10,10,Gesture
30,90,90,Gesture
31,30,40,Gesture
32,70,60,Gesture
33,15,75,Gesture
34,85,25,Gesture
35,55,55,Gesture
